	Acts	Bible Commentary	Chronicle	Commentary	Discourse	Disputation	Homily/Sermon	Legend	Letter	Liturgy	Martyr Acts	Narrative Poetry	Scripture	Theology	Treatise	Apocrypha	Metrical Homilies/Dialogue Poems	Writing	_	Anaphora	Lexica
dehlto	6.281484527603578	8.944176004934718	6.579623727768068	5.921661354991262	6.199239231006477	2.5290428703608514	9.417086460368047	3.9580548987354787	7.617970597306467	16.19204276755423	8.656317466844865	4.862753161303588	4.0711421815564925	4.12254549192968	4.646859257736198	0.0	0.0	0.0	0.0	0.0	0.0
den	6.315789473684211	9.824561403508772	5.614035087719298	13.333333333333334	0.0	4.2105263157894735	13.333333333333334	3.8596491228070176	0.0	8.421052631578947	13.684210526315791	4.2105263157894735	3.1578947368421053	0.0	2.807017543859649	2.456140350877193	3.1578947368421053	5.614035087719298	0.0	0.0	0.0
haymanutho	3.485400467620031	8.07460170735686	4.2738295905606005	8.525909412212496	5.59512805176445	0.0	11.630688923930183	2.071665488554184	7.829916807133924	23.647436245989887	4.197705399380132	4.757761948779294	2.2239138709151214	7.275297699961938	2.6208471534989943	0.0	0.0	0.0	3.7898972323419065	0.0	0.0
towditho	0.0	2.6788142507478923	3.0867555072069623	2.7875985858036443	2.270872994288822	0.0	5.629589339135165	0.0	4.500951862931738	56.28229534946968	1.7949415284199073	2.2572749524068536	0.0	4.555344030459614	2.0125101985314116	0.0	0.0	1.7269513190100627	6.336687516997552	2.43404949687245	1.6453630677182485
