Aḥud:MemOnMan	Nau, François, ed. Histoires d’Ahoudemmeh et de Marouta, métropolitains jacobites de Tagrit et de l’Orient (VIe et VIIe siècles), suivies du traité d’Ahoudemmeh sur l’homme. Patrologia Orientalis 3.1 [11]. Paris: Firmin-Didot, 1905. 
AlexMab:EpJnAnt	Nau, François, ed. Documents pour servir à l’histoire de l’Église nestorienne: I. Quatre Homélies de saint Jean Chrysostome; II. Textes monophysites: Homélies d’Érechthios; Fragments divers; Extraits de Timothée Ælure, de Philoxène, de Bar Hébraeus; III. Histoire de Nestorius, d’après la lettre à Cosme et l’hymne de S. Patrologia Orientalis 13.2 [63]. Paris: Firmin-Didot, 1917. (Turnhout: Brepols, 1993.)
AnathGreg	Nau, François, ed. Documents pour servir à l’histoire de l’Église nestorienne: I. Quatre Homélies de saint Jean Chrysostome; II. Textes monophysites: Homélies d’Érechthios; Fragments divers; Extraits de Timothée Ælure, de Philoxène, de Bar Hébraeus; III. Histoire de Nestorius, d’après la lettre à Cosme et l’hymne de S. Patrologia Orientalis 13.2 [63]. Paris: Firmin-Didot, 1917. (Turnhout: Brepols, 1993.)
AnathemaJnPhilop	Chabot, Jean Baptiste, ed. Documenta ad origines monophysitarum illustrandas. CSCO 17, Syr. II.37 [17]. Paris: E Typographeo Reipublicae, 1907, 1933. (Leuven: Peeters, 1955.)
AnṭTagr:FifBookRhet	Watt, John W., ed. The Fifth Book of the Rhetoric of Antony of Tagrit. CSCO 480-481, Syr. 203-204. Leuven: Peeters, 1986.
AntiTriThWrit	Furlani, Giuseppe, ed. Sei scritti antitriteistici in lingua siriaca. Patrologia Orientalis 14.4 [70]. Paris: Firmin-Didot, 1920.
ApocPs-Method	Reinink, Gerrit J., ed. Die syrische Apokalypse des Pseudo-Methodius. CSCO 540-541, Syr. 220-221. Leuven: Peeters, 1993.
Aret:EpJacBurd	Chabot, Jean Baptiste, ed. Documenta ad origines monophysitarum illustrandas. CSCO 17, Syr. II.37 [17]. Paris: E Typographeo Reipublicae, 1907, 1933. (Leuven: Peeters, 1955.)
AthAl:HomEpist	Thomson, Robert W., ed. Athanasiana Syriaca. Part II: 1. Homily on Matthew XII 32 (Epistola ad Serapionem IV § 8-23); 2. Epistola ad Afros; 3. Tomus ad Antiochenos; 4. Epistola ad Maximum; 5. Epistola ad Adelphium. CSCO 272-273, Syr. 118-119. Leuven: Secrétariat du CorpusSCO, 1967.
AthAl:Treatises	Thomson, Robert W., ed. Athanasiana Syriaca. Part III: De incarnatione contra Arianos; Contra Apollinarium I; De Cruce et Passione; Quod unus sit Christus; De incarnatione Dei Verbi; Ad Jovianum. CSCO 324-325, Syr. 142-143. Leuven: Secrétariat du CorpusSCO, 1972.
AthAl:Inc	Thomson, Robert W., ed. Athanasiana Syriaca. Part I: 1. De incarnatione; 2. Epistula ad Epictetum. CSCO 257-256, Syr. 114-115. Leuven: Secrétariat du CorpusSCO, 1965.
BArbaya:FoundSch	Scher,  Addaï, ed. Mar Barhadbšabba ‘Arbaya, évêque de Halwan (VIe siècle). Cause de la fondation des écoles. Patrologia Orientalis 4.4 [18]. Paris: Firmin-Didot, 1908. (Turnhout: Brepols, 1981.)
Babai:BkUnion	Vaschalde, Arthur Adolphe, ed. Babai Magni Liber de Unione. CSCO 79-80, Syr.  II.61 [34-35]. Leuven: Secrétariat du CorpusSCO, 1915. (Paris: E Typographeo Reipublicae, 1915.)
BarAphton:ActsSev	Kugener, Marc-Antoine, ed. Sévère, patriarche d’Antioche, 512-518: textes syriaques publiés, traduits et annotés. Pt. 2: Vie de Sévère par Jean, supérieur du monastère de Beith-Aphtonia, avec divers textes syriaques, grecs et latins. Patrologia Orientalis 2.3 [8]. Paris: Firmin-Didot, 1904. (Turnhout: Brepols, 2003.)
BarAphton:PoemsOnSev	Kugener, Marc-Antoine, ed. Sévère, patriarche d’Antioche, 512-518: textes syriaques publiés, traduits et annotés. Pt. 2: Vie de Sévère par Jean, supérieur du monastère de Beith-Aphtonia, avec divers textes syriaques, grecs et latins. Patrologia Orientalis 2.3 [8]. Paris: Firmin-Didot, 1904. (Turnhout: Brepols, 2003.)
BarEbr:CandSanctIII	Graffin, F., ed. "Le Candélabre du Sanctuaire de Grégoire Abou’lfaradj dit Barhebræus. III. De la théologie". Patrologia Orientalis 133 [27.4]. Turnhout: Brepols, 1957.
BarEbr:CandSanctIV	Khoury, J., ed. "Le Candélabre du Sanctuaire de Grégoire Abou’lfaradj dit Barhebræus. IV. De l'incarnation". Patrologia Orientalis 31.1 [148]. Turnhout: Brepols, 1961.
BarEbr:CandSanctVII	Albert, M., ed. "Le Candélabre du Sanctuaire de Grégoire Abou’lfaradj dit Barhebræus. VII. Des démons". Patrologia Orientalis 30.2 [144]. Turnhout: Brepols, 1961.
BarEbr:CandSanctVI	Torbey, A., ed. "Le Candélabre du Sanctuaire de Grégoire Abou’lfaradj dit Barhebræus. VI. Des Anges". Patrologia Orientalis 30.4 [146]. Turnhout: Brepols, 1962.
BarEbr:CandSanctXI	Séd, N., ed. "Le Candélabre du Sanctuaire de Grégoire Abou’lfaradj dit Barhebræus. XI. Du jugement". Patrologia Orientalis 41.3 [188]. Turnhout: Brepols, 1983.
BarEbr:Ethic	Teule, Herman G.B., ed. Gregory Barhebraeus. Ethicon (Mēmrā I). CSCO 534-535, Syr. 218-219. Leuven: Peeters, 1993.
BarEbr:OnChristHeres	Nau, François, ed. Documents pour servir à l’histoire de l’Église nestorienne: I. Quatre Homélies de saint Jean Chrysostome; II. Textes monophysites: Homélies d’Érechthios; Fragments divers; Extraits de Timothée Ælure, de Philoxène, de Bar Hébraeus; III. Histoire de Nestorius, d’après la lettre à Cosme et l’hymne de S. Patrologia Orientalis 13.2 [63]. Paris: Firmin-Didot, 1917. (Turnhout: Brepols, 1993.)
BarKoni:ScholUrm	Hespel, Robert, ed. Théodore bar Koni. Livre des Scolies (recension d’Urmiah). CSCO 447-448, Syr. 193-194. Leuven: Peeters, 1983.
BarKoni:Schol	Scher, Addaï, ed. Theodorus bar Kōnī. Liber Scholiorum I. CSCO 55, Syr. II.66 [19]. Paris: E Typographeo Reipublicae, 1910. (Leuven: Peeters, 1960.); Scher, Addaï, ed. Theodorus bar Kōnī. Liber Scholiorum II CSCO 69, Syr. II.66 [26]. Paris: E Typographeo Reipublicae, 1912. (Leuven: Peeters, 1960.)
BarṢal:ComApoc&CathEpis	Sedláček, Jaroslav, ed. Dionysii bar Salibi commentarii in Apocalypsim, Actus et Epistulas catholicas. Corpus Scriptorum Christianorum Orientalium 53, 60; Scriptores Syri II, 18-20. Paris:  E Typographeo Reipublicae, 1909-1910. (Leuven: Peeters, 1962.)
BarṢal:ComGosp	Ref A: Sedláček, Jaroslav and Chabot, Jean Baptiste, eds. Dionysii bar Salibi commentarii in Evangelia. CSCO 15, Syr. III.98 [15]. Paris: E Typographeo Reipublicae, 1906. (Leuven: Peeters, 1960.) | Ref B: Sedláček, Jaroslav and Chabot, Jean Baptiste, eds. Dionysii bar Salibi commentarii in Evangelia. CSCO 77 Syr. III.98 [33]. Paris: E Typographeo Reipublicae, 1915. (Leuven: Secrétariat du CorpusSCO, 1915.) | Ref C: Vaschalde, Arthur Adolphe, ed. Dionysii bar Salibi: Commentarii in Evangelia II (1). CSCO 95, Syr. III.99 [47]. Leuven: Secrétariat du CorpusSCO, 1931. | Ref D: Vaschalde, Arthur Adolphe, ed. Dionysii bar Salibi Commentarii in Evangelia II (2). CSCO 113-114, Syr. 60-61. Leuven: Secrétariat du CorpusSCO, 1939-1940.
BarṢal:ComLiturg	Labourt, Jérôme, ed. Dionysius Bar Ṣalībī. Expositio liturgiae. CSCO 13, Syr. II.93 [13]. Paris: E Typographeo Reipublicae, 1903. (Leuven: Peeters, 1962.)
BarṢal:LuqArabs	Amar, Joseph Phillip, ed. Dionysius bar Ṣalībī. A Response to the Arabs. CSCO 614-615, Syr. 238-239. Leuven: Peeters, 2005.
Basil:SyrDeSpirSanc	Taylor, David G.K., ed. The Syriac Versions of the De Spiritu Sancto by Basil of Caesarea. CSCO 576-577, Syr. 228-229. Leuven: Peeters, 1999.
Basil:SyrHex	Thomson, Robert W., ed. The Syriac Version of the Hexaemeron by Basil of Caesarea. CSCO 550-551, Syr. 222-223. Leuven: Peeters, 1995.
CaveTreas	Ri, Su-Min, ed. La Caverne des Trésors: les deux recensions syriaques. CSCO 486-487, Syr. 207-208. Leuven: Peeters, 1987.
ChapOnChalc	Nau, François, ed. Documents pour servir à l’histoire de l’Église nestorienne: I. Quatre Homélies de saint Jean Chrysostome; II. Textes monophysites: Homélies d’Érechthios; Fragments divers; Extraits de Timothée Ælure, de Philoxène, de Bar Hébraeus; III. Histoire de Nestorius, d’après la lettre à Cosme et l’hymne de S. Patrologia Orientalis 13.2 [63]. Paris: Firmin-Didot, 1917. (Turnhout: Brepols, 1993.)
ChrCaptureSyr	Brooks, Ernest Walter, ed. Chronica Minora II. CSCO 3, Syr. 3. Leuven: Secrétariat du CorpusSCO, 1904.
ChrEdesExtSev	Kugener, Marc-Antoine, ed. Sévère, patriarche d’Antioche, 512-518: textes syriaques publiés, traduits et annotés. Pt. 2: Vie de Sévère par Jean, supérieur du monastère de Beith-Aphtonia, avec divers textes syriaques, grecs et latins. Patrologia Orientalis 2.3 [8]. Paris: Firmin-Didot, 1904. (Turnhout: Brepols, 2003.)
ChrMaron	Brooks, Ernest Walter, ed. Chronica Minora II. CSCO 3, Syr. 3. Leuven: Secrétariat du CorpusSCO, 1904.
